beam_height,beam_length,fillet_size,beam_width,modal_frequency_1,modal_frequency_2,modal_frequency_3,modal_frequency_4,max_deformation,max_stress 
20.0,15.6,0.1,0.64,171.8562282652198,1167.925483917534,1281.7258322619655,1473.271991048016,0.08571279793977737,2.138082667798293
20.0,17.0,0.1,0.64,153.03847548346786,1094.7959580529289,1135.6718564547755,1387.6666033402396,0.10816027969121933,1.8658017784298937
5.0,10.0,0.1,0.72,259.0650441725713,927.8818323309517,1014.4934472440214,1704.2950931987264,0.03772914409637451,1.9907934969733267
5.0,11.4,0.1,0.72,222.4474460454373,870.5894886160097,916.48509013537,1619.0979577386342,0.051280342042446136,2.1178785804925537
5.0,12.8,0.1,0.72,195.09028412875244,819.6077854415257,833.7317727894389,1354.5158279458547,0.06693832576274872,2.338513669898607
5.0,14.2,0.1,0.72,175.69506253973418,761.2408788347439,774.4138126788915,1138.686041894917,0.08289863169193268,2.1772998681094515
5.0,15.6,0.1,0.72,160.0461534271424,692.3602565900901,731.9470882079233,931.3692294852954,0.10056855529546738,2.1936927796502896
5.0,17.0,0.1,0.72,148.0968127095888,620.6981429937158,683.2908614803405,826.0912019350206,0.11772702634334564,2.0085367989608396
8.0,10.0,0.1,0.72,281.72917873677847,1258.5896015371497,1306.1763406922955,1720.136636256669,0.031945839524269104,1.741637056393947
8.0,11.4,0.1,0.72,242.71030501414012,1182.7338766915898,1190.645695585503,1644.834676618402,0.04306698963046074,1.8718204561427478
8.0,12.8,0.1,0.72,213.176665383703,1086.3556009509425,1131.1347076940067,1506.9161793727083,0.05602020025253296,1.8453965532263885
8.0,14.2,0.1,0.72,187.25677402770916,999.6060895257444,1076.7393456841792,1292.2126120388148,0.07282751053571701,1.9117659880145859
8.0,15.6,0.1,0.72,170.4433884062358,922.59550692353,1024.374429816177,1155.7916416190033,0.0880579873919487,2.0123790275488145
8.0,17.0,0.1,0.72,157.31764384665954,833.0312896846993,955.2307406175676,1006.5828408793997,0.10361473262310028,1.8173313684966177
11.0,10.0,0.1,0.72,294.48447873466444,1463.0442998173219,1481.058432038138,1685.4747486083907,0.029263773933053017,1.6364363735121101
11.0,11.4,0.1,0.72,254.17168761178615,1337.004473226657,1406.579816193816,1631.582491438013,0.03920818120241165,1.614637518446595
11.0,12.8,0.1,0.72,226.18103836565078,1229.8178717926985,1340.190133552384,1517.6166157456423,0.04969574883580208,1.6884795305665514
11.0,14.2,0.1,0.72,201.72094706635204,1143.4930501284248,1282.3127144574328,1402.0005906427507,0.06254642456769943,1.7350044485369147
11.0,15.6,0.1,0.72,181.43728243855543,1062.05944277923,1224.8327845086183,1231.3572339078135,0.07763135433197021,1.6780935156529018
11.0,17.0,0.1,0.72,163.67149744588252,968.6917911600453,1096.566437141331,1114.2976658406283,0.09553642570972443,1.7160560712717123
14.0,10.0,0.1,0.72,313.4871151312714,1537.9938637668376,1628.0738191068879,1632.4099833313164,0.025894630700349808,1.535795272481201
14.0,11.4,0.1,0.72,268.012853209905,1414.9759958222774,1553.8207037177485,1581.257411667533,0.03534005582332611,1.5523859412709717
14.0,12.8,0.1,0.72,234.8879587450852,1305.322738116629,1481.0043794457808,1490.4867918956058,0.046116963028907776,1.6563388100105103
14.0,14.2,0.1,0.72,199.77204355302143,1218.3010861816808,1375.8593813815282,1419.758331958453,0.06374511122703552,1.6341027641492782
14.0,15.6,0.1,0.72,184.44966471075134,1143.6838705865334,1280.822790209621,1359.7384688005461,0.07480938732624054,1.8691716629871724
14.0,17.0,0.1,0.72,167.80578896695528,1056.153630977433,1115.3251837054709,1239.1549736635225,0.09058994054794312,1.7359069409351673
17.0,10.0,0.1,0.72,316.57035945436695,1565.2561173495926,1566.5571999208864,1741.407446478072,0.02540266327559948,1.4620853006896246
17.0,11.4,0.1,0.72,274.22439055528156,1451.816591086853,1536.1362277943285,1661.1240989639848,0.03375992923974991,2.0864300147714956
17.0,12.8,0.1,0.72,228.1860964423457,1342.0897995634582,1447.6316262015011,1582.805325863786,0.04880519211292267,1.737679385945947
17.0,14.2,0.1,0.72,205.31713880422302,1255.3363381761405,1342.1754255575902,1518.8569271340484,0.06045244261622429,1.6527830826018832
17.0,15.6,0.1,0.72,183.47515793044107,1189.6739527579564,1285.2560189855121,1458.405923705742,0.07546451687812805,1.6422536044681477
17.0,17.0,0.1,0.72,168.04447837472372,1102.2892119153826,1120.2391074829952,1274.1127499286729,0.09027989208698273,1.5860644273464566
20.0,10.0,0.1,0.72,361.7646016074947,1532.1691642275712,1568.2044852158597,1824.5833424707882,0.01957838609814644,1.61611368208182
20.0,11.4,0.1,0.72,289.2069431527224,1469.2522239830446,1490.1580158510267,1746.408073966951,0.030376354232430458,1.6315641990783165
20.0,12.8,0.1,0.72,252.67134139718803,1376.0761395989634,1452.9996106539686,1671.9832817101305,0.039702631533145905,1.4934948147792193
20.0,14.2,0.1,0.72,217.1174388328584,1283.8035687174604,1378.2174612746787,1598.5457342976804,0.053846605122089386,1.8047296760450762
20.0,15.6,0.1,0.72,194.88749374544457,1215.5001433062682,1300.5471112312587,1535.0732236352776,0.0668853372335434,1.5331896259769808
20.0,17.0,0.1,0.72,177.0012392059262,1137.5577323745495,1142.4638993328147,1442.4539295522293,0.08113599568605423,1.3897036255985433
5.0,10.0,0.1,0.8,298.330956242087,956.5216738614876,1043.337278553677,1755.0578040045893,0.02859656885266304,1.9135034765083307
5.0,11.4,0.1,0.8,256.75735245601726,898.7883126773618,945.6070565351422,1674.5307049258574,0.038606926798820496,1.7226553871084318
5.0,12.8,0.1,0.8,225.30878670471293,847.0340487774662,859.4046024291605,1450.3689502753239,0.050381582230329514,1.9594322993021271
